%! This file is the old "azfwocm_jn98.txt" file with some gas info
%! added (2 August 2000) to the header before the (unchanged) main
%! data block.
%!
%! alpha:  3.1512297119580056E-02  6.6728680529010737E-02
%! 3.9241615312540203E-02  2.9047926354623648E-02  4.1561877744284582E-02
%!
%! New data header line (added 2 August 2000):
%!    NGAS    IDGAS1 IDGAS2 IDGAS3 ... IDGAS<NGAS>
%!
%! layer fixed       water         ozone    carbon monoxide  methane
%!---  -----------  -----------  -----------  -----------  -----------
% 5    2  1  3  5  6
   1  7.01411E-11  1.57304E-13  2.53959E-14  1.86923E-13  2.46615E-14
   2  1.42528E-10  3.25462E-13  5.18081E-14  3.79356E-13  5.03696E-14
   3  2.17232E-10  5.05225E-13  7.92774E-14  5.77460E-13  7.71687E-14
   4  2.94327E-10  6.97392E-13  1.07846E-13  7.81403E-13  1.05105E-13
   5  3.73891E-10  9.02819E-13  1.37558E-13  9.91358E-13  1.34227E-13
   6  4.56002E-10  1.12242E-12  1.68459E-13  1.20750E-12  1.64585E-13
   7  5.40741E-10  1.35718E-12  2.00597E-13  1.43001E-12  1.96231E-13
   8  6.28193E-10  1.60814E-12  2.34021E-13  1.65908E-12  2.29220E-13
   9  7.18446E-10  1.87641E-12  2.68783E-13  1.89491E-12  2.63609E-13
  10  8.11587E-10  2.16320E-12  3.04936E-13  2.13768E-12  2.99457E-13
  11  9.07710E-10  2.46977E-12  3.42536E-13  2.38761E-12  3.36827E-13
  12  1.00691E-09  2.79750E-12  3.81641E-13  2.64491E-12  3.75783E-13
  13  1.10929E-09  3.14785E-12  4.22311E-13  2.90978E-12  4.16392E-13
  14  1.21494E-09  3.52237E-12  4.64608E-13  3.18247E-12  4.58724E-13
  15  1.32398E-09  3.92274E-12  5.08599E-13  3.46319E-12  5.02853E-13
  16  1.43650E-09  4.35073E-12  5.54349E-13  3.75219E-12  5.48854E-13
  17  1.55263E-09  4.80826E-12  6.01931E-13  4.04971E-12  5.96808E-13
  18  1.67248E-09  5.29736E-12  6.51417E-13  4.35599E-12  6.46796E-13
  19  1.79616E-09  5.82021E-12  7.02884E-13  4.67130E-12  6.98906E-13
  20  1.92381E-09  6.37914E-12  7.56411E-13  4.99591E-12  7.53228E-13
  21  2.05554E-09  6.97664E-12  8.12079E-13  5.33008E-12  8.09854E-13
  22  2.19149E-09  7.61537E-12  8.69976E-13  5.67410E-12  8.68884E-13
  23  2.33178E-09  8.29817E-12  9.30190E-13  6.02826E-12  9.30419E-13
  24  2.47658E-09  9.02809E-12  9.92814E-13  6.39286E-12  9.94565E-13
  25  2.62600E-09  9.80838E-12  1.05794E-12  6.76821E-12  1.06143E-12
  26  2.78021E-09  1.06425E-11  1.12568E-12  7.15462E-12  1.13114E-12
  27  2.93936E-09  1.15342E-11  1.19613E-12  7.55241E-12  1.20380E-12
  28  3.10360E-09  1.24874E-11  1.26939E-12  7.96194E-12  1.27955E-12
  29  3.27310E-09  1.35064E-11  1.34559E-12  8.38353E-12  1.35852E-12
  30  3.44803E-09  1.45958E-11  1.42484E-12  8.81755E-12  1.44083E-12
  31  3.62855E-09  1.57603E-11  1.50726E-12  9.26436E-12  1.52664E-12
  32  3.81486E-09  1.70051E-11  1.59298E-12  9.72434E-12  1.61608E-12
  33  4.00713E-09  1.83359E-11  1.68213E-12  1.01979E-11  1.70933E-12
  34  4.20556E-09  1.97584E-11  1.77485E-12  1.06854E-11  1.80653E-12
  35  4.41033E-09  2.12792E-11  1.87128E-12  1.11872E-11  1.90786E-12
  36  4.62167E-09  2.29049E-11  1.97157E-12  1.17039E-11  2.01348E-12
  37  4.83977E-09  2.46427E-11  2.07587E-12  1.22358E-11  2.12359E-12
  38  5.06485E-09  2.65005E-11  2.18434E-12  1.27833E-11  2.23837E-12
  39  5.29714E-09  2.84865E-11  2.29716E-12  1.33470E-11  2.35803E-12
  40  5.53686E-09  3.06095E-11  2.41449E-12  1.39273E-11  2.48276E-12
  41  5.78426E-09  3.28790E-11  2.53652E-12  1.45248E-11  2.61278E-12
  42  6.03958E-09  3.53052E-11  2.66343E-12  1.51398E-11  2.74832E-12
  43  6.30307E-09  3.78987E-11  2.79542E-12  1.57729E-11  2.88962E-12
  44  6.57500E-09  4.06712E-11  2.93270E-12  1.64248E-11  3.03691E-12
  45  6.85563E-09  4.36351E-11  3.07546E-12  1.70958E-11  3.19045E-12
  46  7.14525E-09  4.68034E-11  3.22395E-12  1.77866E-11  3.35051E-12
  47  7.44414E-09  5.01904E-11  3.37837E-12  1.84977E-11  3.51735E-12
  48  7.75260E-09  5.38111E-11  3.53897E-12  1.92299E-11  3.69128E-12
  49  8.07093E-09  5.76817E-11  3.70601E-12  1.99836E-11  3.87260E-12
  50  8.39945E-09  6.18194E-11  3.87972E-12  2.07595E-11  4.06160E-12
  51  8.73849E-09  6.62425E-11  4.06039E-12  2.15583E-11  4.25863E-12
