! AIRS solar data file for AIRS SRF 08 Apr 2008 m130x
!     Tef = 155.770 K, yoffset = -13.0 um
! Data for 649-1614 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the AIRS
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 2181-2665 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with the estimated AIRS
! SRFs for each channel to approximate the effective AIRS solar.
!
!chan   frequency    solar
!---- ----------- --------
    1   649.6172   15.5010
    2   649.8556   15.5109
    3   650.0943   15.5211
    4   650.3331   15.5310
    5   650.5721   15.5406
    6   650.8113   15.5503
    7   651.0506   15.5605
    8   651.2902   15.5708
    9   651.5299   15.5807
   10   651.7699   15.5904
   11   652.0100   15.6003
   12   652.2503   15.6108
   13   652.4908   15.6210
   14   652.7315   15.6309
   15   652.9724   15.6407
   16   653.2135   15.6510
   17   653.4547   15.6615
   18   653.6962   15.6718
   19   653.9378   15.6818
   20   654.1797   15.6918
   21   654.4217   15.7023
   22   654.6639   15.7129
   23   654.9063   15.7232
   24   655.1489   15.7333
   25   655.3917   15.7436
   26   655.6347   15.7543
   27   655.8779   15.7649
   28   656.1212   15.7752
   29   656.3648   15.7855
   30   656.6086   15.7961
   31   656.8525   15.8069
   32   657.0966   15.8175
   33   657.3410   15.8279
   34   657.5855   15.8384
   35   657.8302   15.8493
   36   658.0751   15.8601
   37   658.3202   15.8708
   38   658.5655   15.8814
   39   658.8110   15.8921
   40   659.0567   15.9031
   41   659.3026   15.9140
   42   659.5487   15.9248
   43   659.7949   15.9356
   44   660.0414   15.9466
   45   660.2881   15.9577
   46   660.5349   15.9687
   47   660.7820   15.9796
   48   661.0292   15.9906
   49   661.2767   16.0018
   50   661.5243   16.0130
   51   661.7722   16.0240
   52   662.0202   16.0351
   53   662.2684   16.0464
   54   662.5169   16.0577
   55   662.7655   16.0690
   56   663.0143   16.0802
   57   663.2634   16.0915
   58   663.5126   16.1030
   59   663.7620   16.1144
   60   664.0116   16.1258
   61   664.2614   16.1372
   62   664.5115   16.1487
   63   664.7617   16.1603
   64   665.0121   16.1719
   65   665.2627   16.1834
   66   665.5135   16.1950
   67   665.7645   16.2068
   68   666.0158   16.2185
   69   666.2672   16.2302
   70   666.5188   16.2419
   71   666.7706   16.2537
   72   667.0226   16.2656
   73   667.2748   16.2775
   74   667.5273   16.2893
   75   667.7799   16.3013
   76   668.0327   16.3133
   77   668.2857   16.3253
   78   668.5390   16.3373
   79   668.7924   16.3494
   80   669.0460   16.3615
   81   669.2998   16.3737
   82   669.5539   16.3859
   83   669.8081   16.3980
   84   670.0626   16.4103
   85   670.3172   16.4225
   86   670.5721   16.4349
   87   670.8271   16.4473
   88   671.0824   16.4596
   89   671.3379   16.4719
   90   671.5935   16.4844
   91   671.8494   16.4969
   92   672.1055   16.5094
   93   672.3618   16.5219
   94   672.6183   16.5345
   95   672.8749   16.5472
   96   673.1318   16.5598
   97   673.3890   16.5724
   98   673.6463   16.5851
   99   673.9038   16.5978
  100   674.1615   16.6107
  101   674.4194   16.6235
  102   674.6776   16.6362
  103   674.9359   16.6491
  104   675.1945   16.6620
  105   675.4532   16.6749
  106   675.7122   16.6878
  107   675.9714   16.7008
  108   676.2308   16.7139
  109   676.4904   16.7269
  110   676.7502   16.7400
  111   677.0102   16.7530
  112   677.2704   16.7661
  113   677.5309   16.7794
  114   677.7915   16.7926
  115   678.0524   16.8057
  116   678.3134   16.8190
  117   678.5747   16.8323
  118   678.8362   16.8457
  119   679.0979   16.8589
  120   679.3598   16.8723
  121   679.6219   16.8857
  122   679.8842   16.8991
  123   680.1468   16.9126
  124   680.4095   16.9260
  125   680.6725   16.9396
  126   680.9356   16.9531
  127   681.1990   16.9667
  128   681.4626   16.9803
  129   681.7265   16.9939
  130   681.9905   17.0075
