! AIRS solar data file for AIRS SRF 31 Mar 2008 m140
!     Tef = 156.339 K, yoffset = -14.0 um
! Data for 649-1614 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the AIRS
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 2181-2665 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with the estimated AIRS
! SRFs for each channel to approximate the effective AIRS solar.
!
!chan   frequency    solar
!---- ----------- --------
    1   649.6220   15.5012
    2   649.8604   15.5112
    3   650.0990   15.5213
    4   650.3379   15.5312
    5   650.5769   15.5408
    6   650.8160   15.5506
    7   651.0554   15.5608
    8   651.2950   15.5710
    9   651.5347   15.5808
   10   651.7747   15.5905
   11   652.0148   15.6006
   12   652.2551   15.6110
   13   652.4956   15.6212
   14   652.7363   15.6310
   15   652.9772   15.6409
   16   653.2183   15.6512
   17   653.4596   15.6617
   18   653.7010   15.6720
   19   653.9427   15.6819
   20   654.1845   15.6920
   21   654.4265   15.7026
   22   654.6688   15.7131
   23   654.9112   15.7234
   24   655.1538   15.7334
   25   655.3966   15.7438
   26   655.6396   15.7545
   27   655.8827   15.7651
   28   656.1261   15.7754
   29   656.3697   15.7857
   30   656.6134   15.7963
   31   656.8574   15.8071
   32   657.1015   15.8177
   33   657.3459   15.8281
   34   657.5904   15.8387
   35   657.8351   15.8495
   36   658.0800   15.8604
   37   658.3251   15.8710
   38   658.5704   15.8816
   39   658.8159   15.8924
   40   659.0616   15.9034
   41   659.3075   15.9142
   42   659.5536   15.9250
   43   659.7999   15.9358
   44   660.0463   15.9469
   45   660.2930   15.9579
   46   660.5399   15.9689
   47   660.7869   15.9798
   48   661.0342   15.9908
   49   661.2816   16.0020
   50   661.5293   16.0132
   51   661.7771   16.0242
   52   662.0252   16.0354
   53   662.2734   16.0467
   54   662.5218   16.0580
   55   662.7705   16.0692
   56   663.0193   16.0804
   57   663.2683   16.0917
   58   663.5176   16.1032
   59   663.7670   16.1146
   60   664.0166   16.1260
   61   664.2664   16.1374
