% SARTA for CrIS, June 2003 version, Scott Hannon <hannon@umbc.edu>
%
% Error estimates for fast model versus radiance from training transmittance
% 48 regression profiles at 6 angles each
%
% channel number   wavenumber      mean BT(K)      error RMS(K)    error bias(K)   error std(K)
%---------------   -------------   -------------   -------------   -------------   -------------
   1.0000000e+00   6.3500000e+02   2.2032941e+02   2.6946411e-02   1.2892361e-03   2.6962402e-02
   2.0000000e+00   6.3562500e+02   2.1989876e+02   1.8979912e-02   3.2539463e-03   1.8731449e-02
   3.0000000e+00   6.3625000e+02   2.1975543e+02   2.3411933e-02   2.7083822e-03   2.3295226e-02
   4.0000000e+00   6.3687500e+02   2.1998486e+02   2.3337512e-02   4.3427070e-04   2.3374086e-02
   5.0000000e+00   6.3750000e+02   2.1943372e+02   4.1322451e-02   1.6539577e-02   3.7933940e-02
   6.0000000e+00   6.3812500e+02   2.1959030e+02   2.6060362e-02   8.0519718e-03   2.4828385e-02
   7.0000000e+00   6.3875000e+02   2.1941825e+02   4.0020298e-02   1.2690625e-02   3.8020937e-02
   8.0000000e+00   6.3937500e+02   2.1962683e+02   2.8221371e-02   1.1773496e-02   2.5692853e-02
   9.0000000e+00   6.4000000e+02   2.2023257e+02   4.1520935e-02   1.1068110e-02   4.0088216e-02
   1.0000000e+01   6.4062500e+02   2.1944015e+02   2.9997778e-02   1.3020196e-02   2.7071866e-02
   1.1000000e+01   6.4125000e+02   2.1989311e+02   4.5874125e-02   1.8078905e-02   4.2234846e-02
   1.2000000e+01   6.4187500e+02   2.1915192e+02   3.5663576e-02   1.0657069e-02   3.4093306e-02
   1.3000000e+01   6.4250000e+02   2.1985882e+02   3.9414181e-02   1.2351039e-02   3.7494143e-02
   1.4000000e+01   6.4312500e+02   2.2026616e+02   4.4751661e-02   1.8637286e-02   4.0756969e-02
   1.5000000e+01   6.4375000e+02   2.1955509e+02   7.9804089e-02   4.1331943e-02   6.8385681e-02
   1.6000000e+01   6.4437500e+02   2.2080415e+02   6.1622259e-02   3.0542085e-02   5.3614034e-02
   1.7000000e+01   6.4500000e+02   2.1922244e+02   6.9707149e-02   3.5325547e-02   6.0197798e-02
   1.8000000e+01   6.4562500e+02   2.2063368e+02   6.1981541e-02   3.2676677e-02   5.2759943e-02
   1.9000000e+01   6.4625000e+02   2.2035007e+02   7.2425437e-02   3.8655774e-02   6.1353446e-02
   2.0000000e+01   6.4687500e+02   2.2174976e+02   7.9022505e-02   3.5481755e-02   7.0731696e-02
